Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDF11,OUT013,4109.900606217618
DRI59,OUT049,3753.0000993630574
NCG54,OUT035,2894.2207107142863
FDM44,OUT046,1690.2340862385322
FDT57,OUT018,3327.9525829268287
FDV24,OUT046,2503.5013364485985
FDI50,OUT019,584.7577647727275
FDS09,OUT035,713.8586545454552
NCC31,OUT027,4117.317712631579
FDQ07,OUT019,584.7577647727275
FDC22,OUT017,3391.591252727272
FDZ56,OUT046,2894.2207107142863
FDZ40,OUT019,165.9185816513762
FDS46,OUT027,3242.0620715328473
DRD24,OUT045,1827.8328454545451
FDV45,OUT017,2939.3484761904742
FDL26,OUT045,2894.2207107142863
FDA56,OUT018,1752.2524400000004
FDN27,OUT046,1922.1493817142857
FDM20,OUT049,4109.900606217618
FDO16,OUT017,1481.8506141732287
FDL03,OUT035,3130.0049049504946
FDE58,OUT046,1922.1493817142857
FDI02,OUT027,3242.0620715328473
NCC55,OUT019,92.67548155339804
FDR03,OUT018,3327.9525829268287
FDB14,OUT017,1424.5946902777773
FDR45,OUT013,4109.900606217618
NCN07,OUT017,2243.6695967213113
FDM51,OUT019,219.2185209302325
FDT52,OUT027,6280.890879999999
FDL26,OUT046,2660.9504030303024
NCZ42,OUT046,4109.900606217618
DRI47,OUT019,346.8972837209304
FDW40,OUT013,2309.2007980000003
FDN34,OUT046,2894.2207107142863
FDS01,OUT035,2851.631695876289
NCG55,OUT045,1827.8328454545451
FDC11,OUT035,1424.5946902777773
FDX35,OUT018,3327.9525829268287
NCB06,OUT046,2894.2207107142863
FDR09,OUT019,584.7577647727275
FDC53,OUT017,1559.3429752688176
FDY45,OUT013,4433.3040326530645
FDA22,OUT010,425.93559145299156
FDE02,OUT035,1559.3429752688176
FDW21,OUT045,1879.05405
FDV34,OUT046,1103.186213333333
FDS59,OUT049,1784.4287381818178
NCW17,OUT017,2243.6695967213113
NCK54,OUT046,1922.1493817142857
FDG17,OUT019,584.7577647727275
FDG35,OUT017,3104.189829906543
FDD08,OUT010,92.67548155339804
NCO07,OUT017,3753.0000993630574
FDJ10,OUT010,281.48208181818165
FDW36,OUT017,1511.8747716981138
FDW21,OUT010,219.2185209302325
FDY19,OUT017,1922.1493817142857
DRE03,OUT013,798.2176035398228
NCC55,OUT049,677.1027476190475
FDH52,OUT010,165.9185816513762
FDO09,OUT017,4034.3003068965513
FDU43,OUT045,4109.900606217618
FDX09,OUT010,425.93559145299156
FDH40,OUT019,219.2185209302325
FDW58,OUT017,1690.2340862385322
FDC47,OUT017,3737.2957751824815
NCR41,OUT035,1559.3429752688176
DRG49,OUT035,3737.2957751824815
FDC52,OUT027,4117.317712631579
FDY13,OUT046,1103.186213333333
FDY35,OUT013,507.0464036697249
FDI35,OUT017,3384.108064242422
NCU18,OUT049,2309.2007980000003
FDY33,OUT018,2232.8470218487405
FDC15,OUT027,4117.317712631579
FDU01,OUT049,2752.970934653464
NCU42,OUT046,2649.1102324324333
NCV29,OUT018,2851.631695876289
NCY30,OUT017,3384.108064242422
FDQ46,OUT049,1879.05405
FDG58,OUT027,4117.317712631579
FDK33,OUT017,3753.0000993630574
NCD07,OUT045,1827.8328454545451
NCX29,OUT027,4117.317712631579
NCT42,OUT013,2649.1102324324333
DRN59,OUT035,798.2176035398228
FDI44,OUT035,1243.068929770992
FDA45,OUT049,2568.33283364486
FDP31,OUT045,1103.186213333333
FDY01,OUT046,1922.1493817142857
FDT09,OUT018,1752.2524400000004
DRH03,OUT027,2517.882088484847
FDA36,OUT018,2752.970934653464
NCF31,OUT017,2286.4132673684203
FDG14,OUT049,2286.4132673684203
FDG28,OUT027,6280.890879999999
FDU14,OUT049,4433.3040326530645
FDY47,OUT019,281.48208181818165
FDI56,OUT049,1259.549051315789
DRD01,OUT013,796.6402682539683
FDM22,OUT046,935.0323883040935
FDH33,OUT013,507.0464036697249
DRZ24,OUT013,1922.1493817142857
NCQ38,OUT046,1690.2340862385322
FDO16,OUT027,2517.882088484847
FDU07,OUT027,4117.317712631579
NCB07,OUT013,2893.83982589928
FDU48,OUT045,1827.8328454545451
NCM43,OUT045,2894.2207107142863
FDR31,OUT010,346.8972837209304
DRK49,OUT018,507.0464036697249
NCI30,OUT010,584.7577647727275
DRD60,OUT017,3384.108064242422
NCG19,OUT046,3454.062559154929
FDH12,OUT035,1511.8747716981138
FDM32,OUT035,1424.5946902777773
FDM27,OUT035,2894.2207107142863
NCU53,OUT027,4117.317712631579
NCQ18,OUT046,1559.3429752688176
FDS10,OUT013,2568.33283364486
FDB33,OUT027,4117.317712631579
FDI12,OUT013,1424.5946902777773
NCW42,OUT013,3753.0000993630574
NCC06,OUT018,1752.2524400000004
FDW02,OUT017,1987.251048648647
NCD43,OUT017,1690.2340862385322
FDM57,OUT018,1259.549051315789
FDA58,OUT017,3737.2957751824815
FDK56,OUT046,3384.108064242422
FDP52,OUT045,4109.900606217618
FDW20,OUT018,1752.2524400000004
FDS52,OUT049,1690.2340862385322
NCT29,OUT018,1752.2524400000004
NCL54,OUT013,2851.631695876289
FDC05,OUT045,3130.0049049504946
FDF34,OUT035,2752.970934653464
FDP03,OUT027,3242.0620715328473
FDD32,OUT010,219.2185209302325
FDZ10,OUT045,1827.8328454545451
FDZ40,OUT035,935.0323883040935
FDD51,OUT018,507.0464036697249
NCY30,OUT019,425.93559145299156
FDP58,OUT017,3737.2957751824815
FDV49,OUT017,4433.3040326530645
FDY24,OUT019,165.9185816513762
NCO55,OUT017,1511.8747716981138
FDR13,OUT017,1922.1493817142857
FDS51,OUT017,935.0323883040935
FDP26,OUT045,1879.05405
NCB54,OUT027,3242.0620715328473
FDF32,OUT017,3130.0049049504946
FDN31,OUT018,2893.83982589928
DRM48,OUT017,583.8145788617884
FDN20,OUT049,2453.7477006993004
DRL01,OUT046,3454.062559154929
FDV56,OUT049,1784.4287381818178
DRH13,OUT027,2517.882088484847
FDA03,OUT017,2453.7477006993004
FDF47,OUT027,5329.314724444444
FDX32,OUT046,2660.9504030303024
FDX57,OUT049,1559.3429752688176
NCA30,OUT045,2939.3484761904742
FDO49,OUT013,713.8586545454552
FDL04,OUT019,219.2185209302325
DRM48,OUT035,583.8145788617884
FDR16,OUT013,3454.062559154929
NCC19,OUT018,2893.83982589928
NCE42,OUT045,4109.900606217618
FDY24,OUT017,935.0323883040935
FDH19,OUT049,2568.33283364486
FDJ46,OUT013,2851.631695876289
FDN45,OUT010,584.7577647727275
FDY08,OUT035,2142.743570940171
FDZ37,OUT035,1481.8506141732287
NCT30,OUT045,798.2176035398228
DRY23,OUT018,507.0464036697249
NCZ30,OUT018,1752.2524400000004
FDC44,OUT018,1752.2524400000004
FDB45,OUT035,1690.2340862385322
FDY04,OUT013,2894.2207107142863
FDM27,OUT046,2894.2207107142863
FDZ43,OUT017,4109.900606217618
FDT39,OUT019,346.8972837209304
NCC06,OUT019,281.48208181818165
FDL15,OUT027,4117.317712631579
FDL57,OUT017,4034.3003068965513
FDU08,OUT046,1559.3429752688176
FDK40,OUT017,4433.3040326530645
FDQ12,OUT010,584.7577647727275
FDS48,OUT017,2660.9504030303024
FDP09,OUT045,3753.0000993630574
FDW21,OUT049,1559.3429752688176
FDY25,OUT035,3384.108064242422
DRE13,OUT017,1481.8506141732287
FDV43,OUT019,92.67548155339804
FDD22,OUT045,1511.8747716981138
FDM46,OUT019,219.2185209302325
NCO30,OUT010,482.6995426229507
FDM25,OUT046,2851.631695876289
NCN41,OUT049,1987.251048648647
FDU24,OUT045,1481.8506141732287
FDZ50,OUT046,3384.108064242422
FDP45,OUT013,4034.3003068965513
NCM54,OUT045,1827.8328454545451
FDW10,OUT019,425.93559145299156
FDP20,OUT017,1987.251048648647
FDK32,OUT046,2660.9504030303024
FDN52,OUT049,1259.549051315789
FDM58,OUT045,1784.4287381818178
FDZ46,OUT027,3242.0620715328473
NCA18,OUT018,1752.2524400000004
FDD35,OUT046,2243.6695967213113
NCK31,OUT035,713.8586545454552
FDI40,OUT027,2517.882088484847
FDT50,OUT019,219.2185209302325
NCT06,OUT046,2894.2207107142863
FDT31,OUT035,2752.970934653464
FDT45,OUT049,796.6402682539683
FDT13,OUT045,2939.3484761904742
FDO50,OUT045,1424.5946902777773
NCU18,OUT010,281.48208181818165
NCR54,OUT049,3130.0049049504946
NCO18,OUT018,2851.631695876289
FDU09,OUT045,935.0323883040935
FDT13,OUT018,2893.83982589928
FDE09,OUT046,1690.2340862385322
NCK53,OUT019,219.2185209302325
FDG45,OUT049,3454.062559154929
DRH15,OUT035,677.1027476190475
FDO21,OUT019,584.7577647727275
FDD14,OUT027,5329.314724444444
FDC09,OUT046,1784.4287381818178
FDH45,OUT027,1378.263185276074
FDV32,OUT046,1103.186213333333
FDG12,OUT035,2243.6695967213113
FDS32,OUT013,2309.2007980000003
NCL55,OUT018,3327.9525829268287
DRE01,OUT035,3737.2957751824815
DRE15,OUT049,1259.549051315789
NCL42,OUT045,4109.900606217618
FDP31,OUT013,1103.186213333333
FDN33,OUT018,1259.549051315789
FDZ59,OUT046,2503.5013364485985
FDE45,OUT010,425.93559145299156
FDJ07,OUT013,1922.1493817142857
FDQ45,OUT018,2752.970934653464
FDM33,OUT027,5329.314724444444
FDO15,OUT010,165.9185816513762
FDM46,OUT013,1481.8506141732287
FDR03,OUT045,3753.0000993630574
FDY49,OUT018,2232.8470218487405
FDQ60,OUT045,1827.8328454545451
FDW10,OUT049,2568.33283364486
FDO51,OUT049,677.1027476190475
FDJ40,OUT018,1372.688490740741
FDS20,OUT018,3384.108064242422
FDU45,OUT013,1922.1493817142857
FDV02,OUT035,2894.2207107142863
FDN09,OUT046,4109.900606217618
NCM55,OUT027,5329.314724444444
FDN23,OUT018,2232.8470218487405
FDY31,OUT010,346.8972837209304
FDW03,OUT010,219.2185209302325
FDD14,OUT046,3384.108064242422
FDV23,OUT017,2142.743570940171
DRI03,OUT045,2851.631695876289
FDN13,OUT035,1559.3429752688176
FDF45,OUT027,1378.263185276074
FDU46,OUT035,1424.5946902777773
FDB57,OUT049,3753.0000993630574
FDV12,OUT049,1559.3429752688176
FDQ58,OUT013,2649.1102324324333
NCA18,OUT017,1922.1493817142857
FDH52,OUT049,796.6402682539683
FDM24,OUT018,2232.8470218487405
NCP43,OUT027,5329.314724444444
NCO18,OUT019,425.93559145299156
FDM32,OUT017,1424.5946902777773
NCL07,OUT017,583.8145788617884
FDK03,OUT013,4034.3003068965513
FDP59,OUT017,1784.4287381818178
FDQ24,OUT049,4433.3040326530645
FDQ16,OUT018,1372.688490740741
FDU44,OUT013,2894.2207107142863
FDH28,OUT010,92.67548155339804
FDV28,OUT019,92.67548155339804
FDM22,OUT045,935.0323883040935
FDR56,OUT046,3130.0049049504946
FDV39,OUT049,2752.970934653464
FDU37,OUT019,165.9185816513762
FDQ11,OUT010,584.7577647727275
FDX02,OUT045,3753.0000993630574
NCS42,OUT018,1259.549051315789
FDY57,OUT027,2517.882088484847
FDB21,OUT049,3454.062559154929
FDE28,OUT017,3737.2957751824815
FDQ55,OUT017,1922.1493817142857
FDA48,OUT049,3454.062559154929
FDZ19,OUT045,2851.631695876289
NCC43,OUT045,4034.3003068965513
NCV18,OUT046,1481.8506141732287
NCA42,OUT018,2232.8470218487405
FDY45,OUT046,4433.3040326530645
NCC30,OUT045,2568.33283364486
FDM57,OUT013,1243.068929770992
FDL09,OUT010,425.93559145299156
FDB09,OUT027,3242.0620715328473
FDT44,OUT035,2142.743570940171
NCT06,OUT027,4117.317712631579
FDX26,OUT049,3384.108064242422
FDK32,OUT013,2660.9504030303024
DRA12,OUT046,2309.2007980000003
FDO46,OUT010,482.6995426229507
FDE52,OUT013,1424.5946902777773
NCH42,OUT045,4109.900606217618
FDV08,OUT035,677.1027476190475
FDB47,OUT018,3327.9525829268287
FDC28,OUT010,281.48208181818165
FDD22,OUT046,1922.1493817142857
FDS07,OUT027,3242.0620715328473
DRI13,OUT045,3753.0000993630574
FDG32,OUT018,3327.9525829268287
FDU14,OUT017,4433.3040326530645
FDD28,OUT019,165.9185816513762
NCP41,OUT017,1690.2340862385322
FDS08,OUT049,2851.631695876289
FDX47,OUT045,2286.4132673684203
FDC53,OUT019,219.2185209302325
FDQ19,OUT035,4109.900606217618
FDL14,OUT045,2286.4132673684203
FDM33,OUT019,584.7577647727275
FDA51,OUT045,1827.8328454545451
FDZ27,OUT018,713.8586545454552
FDT04,OUT046,677.1027476190475
DRC13,OUT049,2243.6695967213113
FDR16,OUT027,5329.314724444444
FDQ03,OUT027,6280.890879999999
FDE38,OUT035,2286.4132673684203
DRH23,OUT027,1378.263185276074
FDT11,OUT019,482.6995426229507
FDD09,OUT035,2851.631695876289
FDR40,OUT045,1481.8506141732287
FDX07,OUT017,3384.108064242422
FDR07,OUT035,1559.3429752688176
FDA51,OUT017,1922.1493817142857
FDT59,OUT019,584.7577647727275
FDF20,OUT017,3130.0049049504946
FDR13,OUT045,1827.8328454545451
FDY26,OUT049,3753.0000993630574
FDW04,OUT017,1987.251048648647
FDK52,OUT017,3737.2957751824815
FDN60,OUT049,2894.2207107142863
FDM09,OUT019,425.93559145299156
FDP46,OUT049,1259.549051315789
FDB50,OUT019,165.9185816513762
NCQ29,OUT049,4034.3003068965513
FDP16,OUT027,6280.890879999999
FDX33,OUT018,2232.8470218487405
FDP07,OUT010,482.6995426229507
FDN22,OUT046,4034.3003068965513
FDF39,OUT049,4034.3003068965513
FDS21,OUT017,935.0323883040935
NCM42,OUT013,1879.05405
FDK50,OUT019,425.93559145299156
DRF13,OUT027,4117.317712631579
FDH35,OUT018,2232.8470218487405
FDP60,OUT018,1372.688490740741
DRJ49,OUT027,3242.0620715328473
NCT42,OUT019,346.8972837209304
FDE38,OUT049,2286.4132673684203
FDI04,OUT049,3130.0049049504946
NCH54,OUT045,2894.2207107142863
FDT56,OUT049,796.6402682539683
DRD15,OUT018,3327.9525829268287
FDV58,OUT013,2893.83982589928
FDP21,OUT049,3391.591252727272
FDH05,OUT013,3454.062559154929
FDR10,OUT027,4117.317712631579
NCP06,OUT045,2453.7477006993004
FDF33,OUT049,1879.05405
DRK37,OUT013,2893.83982589928
DRH49,OUT045,1243.068929770992
FDT58,OUT013,2286.4132673684203
FDD41,OUT018,1372.688490740741
FDP40,OUT018,1372.688490740741
FDM51,OUT027,2517.882088484847
FDO45,OUT010,219.2185209302325
FDW33,OUT010,219.2185209302325
FDY24,OUT045,935.0323883040935
FDB10,OUT010,584.7577647727275
FDM40,OUT035,2309.2007980000003
NCI06,OUT017,3384.108064242422
FDW12,OUT019,346.8972837209304
FDX48,OUT027,4117.317712631579
NCW05,OUT027,2517.882088484847
FDX27,OUT017,1559.3429752688176
DRM37,OUT045,3130.0049049504946
FDA38,OUT045,4109.900606217618
FDR36,OUT046,677.1027476190475
FDZ45,OUT046,3130.0049049504946
FDG05,OUT017,2286.4132673684203
FDK28,OUT013,4433.3040326530645
FDV47,OUT045,1424.5946902777773
FDN21,OUT045,2453.7477006993004
FDP20,OUT027,3242.0620715328473
FDI35,OUT045,3384.108064242422
DRY23,OUT013,507.0464036697249
FDA56,OUT017,2243.6695967213113
FDB09,OUT013,1987.251048648647
NCO26,OUT027,3242.0620715328473
FDQ49,OUT018,2232.8470218487405
FDI52,OUT027,3242.0620715328473
FDZ44,OUT027,3242.0620715328473
FDZ09,OUT018,2232.8470218487405
FDY03,OUT049,1922.1493817142857
NCG42,OUT017,1987.251048648647
DRI13,OUT027,5329.314724444444
FDQ32,OUT013,1987.251048648647
FDW16,OUT035,1424.5946902777773
FDU27,OUT046,798.2176035398228
FDR28,OUT010,425.93559145299156
FDQ49,OUT010,346.8972837209304
FDS37,OUT046,1922.1493817142857
FDW26,OUT018,3327.9525829268287
FDX12,OUT018,3327.9525829268287
NCP06,OUT013,2453.7477006993004
FDW45,OUT010,346.8972837209304
NCN30,OUT049,1559.3429752688176
FDN24,OUT049,796.6402682539683
NCL41,OUT027,1378.263185276074
FDR02,OUT019,281.48208181818165
FDD09,OUT010,425.93559145299156
FDS33,OUT010,219.2185209302325
FDU22,OUT045,1827.8328454545451
FDI53,OUT013,2503.5013364485985
DRH01,OUT049,2568.33283364486
FDX32,OUT013,2309.2007980000003
NCP30,OUT018,507.0464036697249
FDB60,OUT045,3391.591252727272
FDB14,OUT049,1259.549051315789
NCP02,OUT035,935.0323883040935
FDJ10,OUT017,2309.2007980000003
FDG34,OUT046,1784.4287381818178
NCB18,OUT017,1424.5946902777773
FDM16,OUT049,1103.186213333333
FDW25,OUT018,1259.549051315789
FDB35,OUT010,219.2185209302325
DRN11,OUT013,2309.2007980000003
FDF41,OUT019,584.7577647727275
FDH16,OUT045,1424.5946902777773
NCQ50,OUT018,3327.9525829268287
DRH23,OUT018,796.6402682539683
DRJ37,OUT013,2286.4132673684203
DRJ24,OUT027,5329.314724444444
FDY16,OUT035,3384.108064242422
FDQ27,OUT045,1879.05405
FDZ33,OUT045,2503.5013364485985
FDF29,OUT045,1827.8328454545451
FDA08,OUT049,2286.4132673684203
FDG31,OUT046,1103.186213333333
FDE34,OUT019,482.6995426229507
NCR30,OUT027,1378.263185276074
FDV33,OUT035,4034.3003068965513
DRZ24,OUT018,1752.2524400000004
NCL54,OUT035,2851.631695876289
FDR12,OUT049,3104.189829906543
NCC54,OUT046,3454.062559154929
DRN59,OUT013,798.2176035398228
FDX50,OUT019,281.48208181818165
FDV31,OUT027,5329.314724444444
NCA29,OUT027,4117.317712631579
FDW60,OUT049,2851.631695876289
FDX08,OUT017,3384.108064242422
DRD49,OUT013,3454.062559154929
FDD33,OUT046,3454.062559154929
FDW35,OUT013,507.0464036697249
FDJ36,OUT017,1784.4287381818178
FDV51,OUT035,2894.2207107142863
FDW36,OUT046,1511.8747716981138
FDH35,OUT046,2453.7477006993004
NCS30,OUT027,3242.0620715328473
FDN49,OUT017,677.1027476190475
FDL08,OUT018,3327.9525829268287
FDI09,OUT013,3454.062559154929
FDP19,OUT018,1752.2524400000004
FDU21,OUT010,92.67548155339804
NCP41,OUT045,1690.2340862385322
FDY10,OUT013,1922.1493817142857
FDP12,OUT018,507.0464036697249
NCN26,OUT049,1922.1493817142857
FDK44,OUT013,2568.33283364486
FDC28,OUT049,1879.05405
FDJ41,OUT027,6280.890879999999
NCT29,OUT035,1987.251048648647
NCH42,OUT019,584.7577647727275
FDU60,OUT018,2232.8470218487405
FDS02,OUT045,3391.591252727272
FDC51,OUT046,2243.6695967213113
FDU03,OUT013,3384.108064242422
FDX39,OUT045,3753.0000993630574
NCY05,OUT010,92.67548155339804
NCL06,OUT027,6280.890879999999
FDD32,OUT035,1243.068929770992
NCN41,OUT045,1827.8328454545451
NCX53,OUT049,2309.2007980000003
FDU57,OUT019,346.8972837209304
FDQ23,OUT046,1879.05405
FDQ52,OUT045,4433.3040326530645
FDC14,OUT045,677.1027476190475
FDY09,OUT035,2568.33283364486
FDQ28,OUT045,2894.2207107142863
FDV25,OUT046,3753.0000993630574
FDJ07,OUT035,1922.1493817142857
DRB25,OUT049,1511.8747716981138
FDK52,OUT019,584.7577647727275
FDY52,OUT027,1378.263185276074
FDB28,OUT046,3391.591252727272
FDT36,OUT035,583.8145788617884
FDV25,OUT017,3753.0000993630574
NCN07,OUT027,3242.0620715328473
FDC57,OUT017,2939.3484761904742
FDQ03,OUT018,3327.9525829268287
FDU23,OUT017,2894.2207107142863
NCX41,OUT035,3753.0000993630574
NCD06,OUT035,798.2176035398228
FDW08,OUT045,1511.8747716981138
NCU29,OUT017,2649.1102324324333
NCE06,OUT013,2503.5013364485985
FDV52,OUT010,281.48208181818165
FDB02,OUT017,2851.631695876289
NCR18,OUT045,677.1027476190475
FDK16,OUT049,1559.3429752688176
NCQ29,OUT010,584.7577647727275
FDZ01,OUT019,219.2185209302325
FDW27,OUT035,2503.5013364485985
FDD17,OUT018,3327.9525829268287
FDW39,OUT013,2851.631695876289
DRH59,OUT045,1103.186213333333
FDS52,OUT013,1690.2340862385322
FDU40,OUT027,5329.314724444444
NCF54,OUT013,2568.33283364486
FDH46,OUT045,1879.05405
NCP14,OUT049,1879.05405
FDH50,OUT049,3384.108064242422
DRF15,OUT010,346.8972837209304
FDV27,OUT027,2517.882088484847
NCJ06,OUT049,2243.6695967213113
FDN02,OUT018,3327.9525829268287
FDQ51,OUT049,798.2176035398228
FDQ07,OUT017,3737.2957751824815
FDS45,OUT049,1879.05405
NCJ06,OUT045,1827.8328454545451
FDD36,OUT035,1922.1493817142857
FDY25,OUT045,3384.108064242422
FDU52,OUT046,2286.4132673684203
DRK47,OUT017,3737.2957751824815
NCL30,OUT017,1987.251048648647
FDN22,OUT035,4034.3003068965513
NCF30,OUT027,3242.0620715328473
FDK03,OUT035,4034.3003068965513
FDT45,OUT017,935.0323883040935
NCC54,OUT027,6280.890879999999
FDP08,OUT018,2893.83982589928
FDU44,OUT046,2894.2207107142863
